,Date,Open,High,Low,Close,Volume
,"Dec 31, 2021",162.86,163.73,162.46,163.58,"5,327,027"
,"Jan 3, 2022",161.69,162.94,159.88,162.9,"9,317,892"
,"Jan 4, 2022",162.29,164.39,162.18,163.47,"9,253,754"
,"Jan 5, 2022",163.44,165.32,163.4,164.21,"9,330,245"
,"Jan 6, 2022",164.34,165.2,162.61,162.83,"7,555,999"
,"Jan 7, 2022",163.13,163.53,161.95,162.74,"6,098,455"
,"Jan 10, 2022",162.51,163.12,160.17,160.52,"8,054,984"
,"Jan 11, 2022",160.22,160.22,156.91,158.66,"11,957,885"
,"Jan 12, 2022",158.26,159.36,157.83,159.01,"7,126,650"
,"Jan 13, 2022",159.31,159.45,157.78,158.29,"6,551,083"
,"Jan 14, 2022",158.07,160.49,157.56,159.81,"10,708,197"
,"Jan 18, 2022",158.53,158.53,156.04,156.73,"10,991,410"
,"Jan 19, 2022",157.61,164.19,156.97,162,"14,088,282"
,"Jan 20, 2022",160.12,164.33,160.12,162,"10,799,065"
,"Jan 21, 2022",163,165.35,162.1,162.62,"10,900,398"
,"Jan 24, 2022",163.43,164.12,158.72,161.3,"14,846,686"
,"Jan 25, 2022",160.45,161.3,157.89,159.54,"9,369,589"
,"Jan 26, 2022",157.34,159.57,156.38,158.15,"10,707,105"
,"Jan 27, 2022",158.73,161.35,158.58,159.13,"9,084,347"
,"Jan 28, 2022",158.61,160.95,157.32,160.5,"9,494,403"
,"Jan 31, 2022",159.35,160.65,158.87,160.45,"8,950,094"
,"Feb 1, 2022",160.79,161.3,157.73,159.74,"6,284,069"
,"Feb 2, 2022",160.14,162.84,159.47,162.6,"7,558,750"
,"Feb 3, 2022",161.98,164.98,161.62,164.14,"10,474,542"
,"Feb 4, 2022",163.13,164.49,161.41,161.53,"8,960,135"
,"Feb 7, 2022",161.87,162.26,159.67,160.32,"6,430,488"
,"Feb 8, 2022",161.12,161.27,159.65,159.96,"5,048,797"
,"Feb 9, 2022",160.36,160.64,159.27,159.6,"8,077,550"
,"Feb 10, 2022",159.09,159.5,156.65,157.17,"7,032,976"
,"Feb 11, 2022",158.01,158.58,155.58,156.29,"9,341,436"
,"Feb 14, 2022",156.14,157.06,153.36,156.74,"9,472,171"
,"Feb 15, 2022",157.77,159.32,156.11,156.82,"6,659,367"
,"Feb 16, 2022",156.83,158.78,156.27,158.01,"9,315,668"
,"Feb 17, 2022",158.38,160.38,157.35,159.82,"7,925,454"
,"Feb 18, 2022",159.5,161.06,158.82,159.9,"8,063,159"
,"Feb 22, 2022",160.11,160.88,156.66,157.93,"8,179,551"
,"Feb 23, 2022",158.3,158.6,155.6,155.96,"6,273,013"
,"Feb 24, 2022",155.64,155.98,150.56,151.76,"13,145,073"
,"Feb 25, 2022",152.33,158.94,152.25,158.24,"8,866,983"
,"Feb 28, 2022",156.29,157.19,153.82,155.89,"8,669,154"
,"Mar 1, 2022",154.31,155.4,152.34,153.31,"8,311,984"
,"Mar 2, 2022",152.96,155.08,152.6,153.79,"6,111,319"
,"Mar 3, 2022",153.77,155.86,153.77,154.36,"7,451,233"
,"Mar 4, 2022",153.12,155.35,152.55,155.14,"8,639,712"
,"Mar 7, 2022",154.49,154.52,151.14,152.84,"8,374,459"
,"Mar 8, 2022",152.18,152.95,146.58,146.79,"9,517,238"
,"Mar 9, 2022",148.83,150.47,147.81,148.77,"7,044,122"
,"Mar 10, 2022",147.8,148.28,143.94,144.94,"9,221,108"
,"Mar 11, 2022",145.4,146.16,143.03,143.22,"7,086,146"
,"Mar 14, 2022",144.45,146.04,143.35,145.05,"7,964,794"
,"Mar 15, 2022",147.01,150.54,146.89,150.27,"9,868,370"
,"Mar 16, 2022",150.63,151.79,148.04,149.76,"6,908,879"
,"Mar 17, 2022",149.99,150.47,148.5,150.23,"6,003,952"
,"Mar 18, 2022",150.87,150.87,148.24,150.15,"15,570,273"
,"Mar 21, 2022",150.44,151.42,149.24,150.72,"6,937,482"
,"Mar 22, 2022",153.43,153.6,150.52,151.88,"7,292,080"
,"Mar 23, 2022",152.2,153.01,150.69,150.82,"5,531,995"
,"Mar 24, 2022",150.89,151.56,150.16,151.08,"4,203,133"
,"Mar 25, 2022",151.63,153.92,151.51,152.83,"5,047,710"
,"Mar 28, 2022",153.64,153.9,152.63,153.88,"4,234,012"
,"Mar 29, 2022",155.37,156.47,154.02,155.46,"5,643,428"
,"Mar 30, 2022",152.5,154.43,151.94,154.39,"5,779,503"
,"Mar 31, 2022",154.1,154.34,152.4,152.8,"7,538,629"
,"Apr 1, 2022",153.52,155.46,152.06,155.09,"5,742,629"
,"Apr 4, 2022",153.81,154.35,151.26,154.08,"5,992,017"
,"Apr 5, 2022",153.61,157.37,153.54,154.62,"7,653,018"
,"Apr 6, 2022",154.42,157.29,153.94,156.83,"8,884,737"
,"Apr 7, 2022",157.87,159.39,156.97,158.86,"6,889,726"
,"Apr 8, 2022",159.7,160.53,158.92,160.1,"6,045,430"
,"Apr 11, 2022",159.95,161.21,158.63,159.49,"6,158,360"
,"Apr 12, 2022",159.31,160.63,158.7,159.01,"7,221,479"
,"Apr 13, 2022",159.08,160.41,158.71,159.46,"5,247,722"
,"Apr 14, 2022",159.98,160.3,158.45,158.57,"7,806,452"
,"Apr 18, 2022",158.48,158.98,156.53,157.06,"6,034,506"
,"Apr 19, 2022",156.77,160.03,156.3,159.41,"7,897,048"
,"Apr 20, 2022",160.5,164.48,160,163.65,"10,196,125"
,"Apr 21, 2022",163.82,164.9,162.43,162.61,"9,365,701"
,"Apr 22, 2022",163.24,163.52,160.91,161.25,"9,394,646"
,"Apr 25, 2022",161.7,163.29,159.8,162.55,"6,986,760"
,"Apr 26, 2022",162.68,163.64,159.75,159.79,"7,769,465"
,"Apr 27, 2022",160.21,161.45,159.11,159.36,"6,754,947"
,"Apr 28, 2022",160.54,163.71,159.27,163.41,"9,308,388"
,"Apr 29, 2022",162.47,162.95,160.2,160.55,"10,637,046"
,"May 2, 2022",161.6,162,156.19,158.38,"10,351,637"
,"May 3, 2022",158.22,158.99,155.01,156.21,"10,344,012"
,"May 4, 2022",155.83,157.55,155.15,157.36,"7,770,988"
,"May 5, 2022",156.3,157.29,153.14,154.46,"8,217,145"
,"May 6, 2022",154.77,156.24,153.87,156,"7,304,756"
,"May 9, 2022",153.96,156.76,152.75,155.61,"8,540,760"
,"May 10, 2022",155.55,156.62,153.94,154.79,"7,447,352"
,"May 11, 2022",154.03,155.9,152.35,152.61,"7,692,196"
,"May 12, 2022",153.52,153.61,149.88,151.99,"9,600,841"
,"May 13, 2022",152.58,153.73,150.42,153.62,"5,675,512"
,"May 16, 2022",153.47,155.9,152.03,155.12,"5,970,990"
,"May 17, 2022",155.13,156.75,153.07,154.68,"6,509,118"
,"May 18, 2022",154.67,154.76,144.54,145.04,"9,670,680"
,"May 19, 2022",143.41,143.42,140.6,141.7,"9,694,141"
,"May 20, 2022",142.15,142.45,139.18,141.79,"7,786,869"
,"May 23, 2022",142.84,145.63,142.08,145.05,"7,134,483"
,"May 24, 2022",144.89,147.94,144.82,147.63,"7,207,400"
,"May 25, 2022",147.11,147.14,143.5,145.21,"8,217,750"
,"May 26, 2022",146.48,147.38,145.04,146.48,"5,702,555"
,"May 27, 2022",146.97,148.72,146.63,148.72,"6,028,846"
,"May 31, 2022",147.29,148.99,146.16,147.88,"12,416,917"
,"Jun 1, 2022",148,148.12,144.71,145.64,"7,036,042"
,"Jun 2, 2022",145.97,147.26,142.63,147.21,"6,480,034"
,"Jun 3, 2022",146.36,147.21,145.12,145.89,"4,720,680"
,"Jun 6, 2022",147.37,147.64,144.59,145.32,"4,751,096"
,"Jun 7, 2022",143.67,147.18,143.43,146.94,"4,918,620"
,"Jun 8, 2022",146.3,146.43,144.99,145.11,"4,369,642"
,"Jun 9, 2022",145.41,146.89,142.34,142.49,"4,626,787"
,"Jun 10, 2022",140.89,143.15,139.45,141.95,"6,632,052"
,"Jun 13, 2022",139.5,140.49,137.63,138.15,"8,549,451"
,"Jun 14, 2022",137.51,137.58,132.54,133.84,"9,980,162"
,"Jun 15, 2022",134.44,134.9,129.5,132.51,"12,178,070"
,"Jun 16, 2022",131.03,135.07,130.6,133.32,"9,683,288"
,"Jun 17, 2022",132.56,134.26,131.43,132.36,"17,113,329"
,"Jun 21, 2022",134.62,137,133.43,136.37,"9,017,016"
,"Jun 22, 2022",135.68,139.69,135.67,138.5,"8,374,622"
,"Jun 23, 2022",139.05,142.48,138.9,142.3,"6,418,526"
,"Jun 24, 2022",144.2,145.24,143.12,144.35,"19,440,635"
,"Jun 27, 2022",144.12,144.76,142.71,143.25,"5,618,524"
,"Jun 28, 2022",143.54,144.09,140.58,140.92,"6,100,267"
,"Jun 29, 2022",141.6,142.86,141.15,142.2,"5,174,562"
,"Jun 30, 2022",141.69,144.44,141.23,143.79,"7,410,304"
,"Jul 1, 2022",144.24,146.25,143.4,146.11,"5,937,238"
,"Jul 5, 2022",144.58,146.1,142.54,144.7,"5,761,117"
,"Jul 6, 2022",145.51,147.49,144.97,146.05,"5,485,269"
,"Jul 7, 2022",145.29,146.19,144.6,146,"6,623,363"
,"Jul 8, 2022",145.99,146.81,144.57,145.02,"4,294,177"
,"Jul 11, 2022",145.15,146.58,144.68,146.04,"5,483,189"
,"Jul 12, 2022",145.86,146.92,144.37,144.75,"5,204,424"
,"Jul 13, 2022",144.41,146.96,144.21,145.7,"5,075,613"
,"Jul 14, 2022",143.76,145.53,143.47,145.27,"4,867,147"
,"Jul 15, 2022",145.34,145.7,144.1,145.07,"6,264,592"
,"Jul 18, 2022",144.94,145.09,143.17,143.31,"6,047,504"
,"Jul 19, 2022",144.57,145.01,143.64,144.04,"5,943,647"
